host_id,n_listings,host_name,host_url
38468,1,Andrea,https://www.airbnb.com/users/show/38468
95428,2,Simona,https://www.airbnb.com/users/show/95428
180550,2,Sveva,https://www.airbnb.com/users/show/180550
184487,1,Sergio,https://www.airbnb.com/users/show/184487
286688,2,Paolo,https://www.airbnb.com/users/show/286688
331305,1,Alex,https://www.airbnb.com/users/show/331305
374533,1,Ersi,https://www.airbnb.com/users/show/374533
416530,1,Stefano & Giovanna,https://www.airbnb.com/users/show/416530
467675,1,Anna Maria,https://www.airbnb.com/users/show/467675
467810,2,Eleonora,https://www.airbnb.com/users/show/467810
488426,1,Paola,https://www.airbnb.com/users/show/488426
526623,2,Andrea,https://www.airbnb.com/users/show/526623
639874,1,Tiziana,https://www.airbnb.com/users/show/639874
661336,2,Francesco Maria,https://www.airbnb.com/users/show/661336
673499,1,Marina,https://www.airbnb.com/users/show/673499
746109,4,Federica,https://www.airbnb.com/users/show/746109
779753,1,Samantha,https://www.airbnb.com/users/show/779753
878613,1,Edoardo,https://www.airbnb.com/users/show/878613
959467,4,Rosa&Michele,https://www.airbnb.com/users/show/959467
1106644,1,Giancarlo,https://www.airbnb.com/users/show/1106644
1108018,1,Carlo,https://www.airbnb.com/users/show/1108018
1116679,3,Fosca Ilaria,https://www.airbnb.com/users/show/1116679
1139326,1,Elisa,https://www.airbnb.com/users/show/1139326
1174780,1,Anna,https://www.airbnb.com/users/show/1174780
1196205,1,Davide,https://www.airbnb.com/users/show/1196205
1232747,1,Jessica,https://www.airbnb.com/users/show/1232747
1364965,1,Helene,https://www.airbnb.com/users/show/1364965
1373203,1,Ludovica,https://www.airbnb.com/users/show/1373203
1398894,1,Giulia,https://www.airbnb.com/users/show/1398894
1441245,1,Luca,https://www.airbnb.com/users/show/1441245
1451220,1,Marco,https://www.airbnb.com/users/show/1451220
1476568,1,Tanya,https://www.airbnb.com/users/show/1476568
1637831,1,Emiliano,https://www.airbnb.com/users/show/1637831
1714288,1,Silvia,https://www.airbnb.com/users/show/1714288
1749295,6,Kristina,https://www.airbnb.com/users/show/1749295
1771680,3,Antonella,https://www.airbnb.com/users/show/1771680
1781788,1,Nicola,https://www.airbnb.com/users/show/1781788
1876282,1,Doriana E Pietro,https://www.airbnb.com/users/show/1876282
1884566,4,Federico,https://www.airbnb.com/users/show/1884566
1894885,1,Sara & Gabriele,https://www.airbnb.com/users/show/1894885
1967798,2,Francesco,https://www.airbnb.com/users/show/1967798
2005506,1,Massimo,https://www.airbnb.com/users/show/2005506
2047130,1,Massimo,https://www.airbnb.com/users/show/2047130
2048622,2,Irene,https://www.airbnb.com/users/show/2048622
2336651,1,Paolo,https://www.airbnb.com/users/show/2336651
2345001,1,Demian,https://www.airbnb.com/users/show/2345001
2360912,1,Angela,https://www.airbnb.com/users/show/2360912
2445191,1,Francesco,https://www.airbnb.com/users/show/2445191
2457244,1,Rachel,https://www.airbnb.com/users/show/2457244
2570614,2,Alex & Olivia,https://www.airbnb.com/users/show/2570614
2652704,1,Michele,https://www.airbnb.com/users/show/2652704
2671558,2,Fabio,https://www.airbnb.com/users/show/2671558
2688746,5,Danilo,https://www.airbnb.com/users/show/2688746
2802763,1,Renata,https://www.airbnb.com/users/show/2802763
2845503,2,Simone,https://www.airbnb.com/users/show/2845503
2879369,4,Andrea,https://www.airbnb.com/users/show/2879369
2915720,1,Chiara,https://www.airbnb.com/users/show/2915720
2987425,1,Sara,https://www.airbnb.com/users/show/2987425
2988521,3,Marco Morigi LCdP,https://www.airbnb.com/users/show/2988521
3026417,1,Michela,https://www.airbnb.com/users/show/3026417
3167518,1,Daniele,https://www.airbnb.com/users/show/3167518
3177874,4,Davide,https://www.airbnb.com/users/show/3177874
3315058,2,Raffaele,https://www.airbnb.com/users/show/3315058
3343472,1,Marco,https://www.airbnb.com/users/show/3343472
3398944,2,Enzo,https://www.airbnb.com/users/show/3398944
3416968,1,Filippo,https://www.airbnb.com/users/show/3416968
3488947,1,Cristina,https://www.airbnb.com/users/show/3488947
3529285,1,Erika,https://www.airbnb.com/users/show/3529285
3558853,1,Pierfrancesco,https://www.airbnb.com/users/show/3558853
3582959,1,Nicoletta,https://www.airbnb.com/users/show/3582959
3664572,1,Sheila Margaret,https://www.airbnb.com/users/show/3664572
3694938,1,Angela,https://www.airbnb.com/users/show/3694938
3715410,1,Katia,https://www.airbnb.com/users/show/3715410
3858191,2,Ennio,https://www.airbnb.com/users/show/3858191
3925734,1,Irene,https://www.airbnb.com/users/show/3925734
