host_id,n_listings,host_name,host_url
185745,1,Alessandra,https://www.airbnb.com/users/show/185745
313080,1,Pierpaolo,https://www.airbnb.com/users/show/313080
514543,1,Patrizia,https://www.airbnb.com/users/show/514543
815540,1,Luigi,https://www.airbnb.com/users/show/815540
1172384,3,Farilla,https://www.airbnb.com/users/show/1172384
1273460,2,Mauro,https://www.airbnb.com/users/show/1273460
1326669,1,Gaia,https://www.airbnb.com/users/show/1326669
1342848,1,Davide,https://www.airbnb.com/users/show/1342848
1372222,6,Cristhian,https://www.airbnb.com/users/show/1372222
1410239,1,Piergiorgio,https://www.airbnb.com/users/show/1410239
1454439,3,Simone,https://www.airbnb.com/users/show/1454439
1524700,2,Giulio,https://www.airbnb.com/users/show/1524700
1565914,4,Isabella,https://www.airbnb.com/users/show/1565914
1735661,2,Gianluca,https://www.airbnb.com/users/show/1735661
1793719,3,Marco,https://www.airbnb.com/users/show/1793719
1876033,1,Cynthia,https://www.airbnb.com/users/show/1876033
1976425,2,Michele,https://www.airbnb.com/users/show/1976425
2023558,1,Marco,https://www.airbnb.com/users/show/2023558
2053397,2,Giovanni Battista,https://www.airbnb.com/users/show/2053397
2060348,1,Maurizio,https://www.airbnb.com/users/show/2060348
2061356,2,Fernando,https://www.airbnb.com/users/show/2061356
2069776,7,Anna Maria,https://www.airbnb.com/users/show/2069776
2111095,2,Roberto,https://www.airbnb.com/users/show/2111095
2173787,1,Claudio,https://www.airbnb.com/users/show/2173787
2193254,1,Andrea,https://www.airbnb.com/users/show/2193254
2292134,3,Fausto,https://www.airbnb.com/users/show/2292134
2293571,5,Annamaria,https://www.airbnb.com/users/show/2293571
2378288,1,Stelvio,https://www.airbnb.com/users/show/2378288
2468537,1,Giusy,https://www.airbnb.com/users/show/2468537
2574542,2,Carlo,https://www.airbnb.com/users/show/2574542
2709949,3,Tullio,https://www.airbnb.com/users/show/2709949
2746541,2,Roberta,https://www.airbnb.com/users/show/2746541
2780713,1,Luca,https://www.airbnb.com/users/show/2780713
2836806,2,Davide,https://www.airbnb.com/users/show/2836806
2883688,1,Alessandra,https://www.airbnb.com/users/show/2883688
2950830,1,Claudia,https://www.airbnb.com/users/show/2950830
2986151,2,Carolina,https://www.airbnb.com/users/show/2986151
3205186,1,Mirko,https://www.airbnb.com/users/show/3205186
3236819,1,Maria Teresa,https://www.airbnb.com/users/show/3236819
3275762,1,Paola,https://www.airbnb.com/users/show/3275762
3315187,1,Roberta,https://www.airbnb.com/users/show/3315187
3341219,1,Gianni,https://www.airbnb.com/users/show/3341219
3512864,1,Antonio,https://www.airbnb.com/users/show/3512864
3545713,1,Marco,https://www.airbnb.com/users/show/3545713
3714214,2,Marco,https://www.airbnb.com/users/show/3714214
3827436,2,Chiara,https://www.airbnb.com/users/show/3827436
3893133,1,Alessia,https://www.airbnb.com/users/show/3893133
3898366,1,Già,https://www.airbnb.com/users/show/3898366
3927989,1,Roberta,https://www.airbnb.com/users/show/3927989
3976213,3,Nuvole Barocche,https://www.airbnb.com/users/show/3976213
4026411,1,Simona,https://www.airbnb.com/users/show/4026411
4110393,8,Raffaele,https://www.airbnb.com/users/show/4110393
4237377,2,Francesca,https://www.airbnb.com/users/show/4237377
4324022,1,Enrico E Mary,https://www.airbnb.com/users/show/4324022
4577066,1,Massimiliano,https://www.airbnb.com/users/show/4577066
4959722,1,Fausto,https://www.airbnb.com/users/show/4959722
5117955,4,Gianluca,https://www.airbnb.com/users/show/5117955
5160357,3,Federica,https://www.airbnb.com/users/show/5160357
5213413,4,Federico,https://www.airbnb.com/users/show/5213413
5398702,6,Pasquale & Marianne,https://www.airbnb.com/users/show/5398702
5425979,3,Giuseppe,https://www.airbnb.com/users/show/5425979
5558942,4,Danilo,https://www.airbnb.com/users/show/5558942
5620951,1,Lorenzo,https://www.airbnb.com/users/show/5620951
5623485,3,Maria  Antonietta,https://www.airbnb.com/users/show/5623485
5739728,2,Sonia,https://www.airbnb.com/users/show/5739728
5833678,1,Maurizio,https://www.airbnb.com/users/show/5833678
6098453,2,Luciana,https://www.airbnb.com/users/show/6098453
6569576,1,Monica,https://www.airbnb.com/users/show/6569576
6814470,2,Angelo,https://www.airbnb.com/users/show/6814470
6839099,2,Daniela,https://www.airbnb.com/users/show/6839099
6952078,3,Angelo,https://www.airbnb.com/users/show/6952078
7079315,1,Giovanni,https://www.airbnb.com/users/show/7079315
7087675,7,Giuseppe,https://www.airbnb.com/users/show/7087675
7107261,1,Laura,https://www.airbnb.com/users/show/7107261
7252095,1,Andrea,https://www.airbnb.com/users/show/7252095
7275627,2,Felix,https://www.airbnb.com/users/show/7275627
7281292,1,Simone,https://www.airbnb.com/users/show/7281292
7481897,1,Caterina,https://www.airbnb.com/users/show/7481897
7551784,1,Lorena,https://www.airbnb.com/users/show/7551784
7851015,1,Antonio,https://www.airbnb.com/users/show/7851015
8318908,4,Mina,https://www.airbnb.com/users/show/8318908
8327120,1,Marco,https://www.airbnb.com/users/show/8327120
8330282,2,Anna,https://www.airbnb.com/users/show/8330282
8352027,4,Nieves,https://www.airbnb.com/users/show/8352027
8495401,1,Gabriella,https://www.airbnb.com/users/show/8495401
8543839,4,Giampiero,https://www.airbnb.com/users/show/8543839
8549987,1,Anna,https://www.airbnb.com/users/show/8549987
8570444,1,Rossella,https://www.airbnb.com/users/show/8570444
8643525,1,Patrizia,https://www.airbnb.com/users/show/8643525
8928532,1,Marinella,https://www.airbnb.com/users/show/8928532
8960567,1,Gennaro,https://www.airbnb.com/users/show/8960567
9141517,1,Alessia,https://www.airbnb.com/users/show/9141517
9632167,49,Barbarhouse SRL,https://www.airbnb.com/users/show/9632167
9768731,1,Annamaria,https://www.airbnb.com/users/show/9768731
9798561,3,Laura,https://www.airbnb.com/users/show/9798561
10125184,1,Gaia,https://www.airbnb.com/users/show/10125184
11069128,1,Roberto,https://www.airbnb.com/users/show/11069128
11092164,2,Barbara,https://www.airbnb.com/users/show/11092164
11156523,1,Maria,https://www.airbnb.com/users/show/11156523
11174745,1,Gabriele,https://www.airbnb.com/users/show/11174745
11256557,1,Antonio,https://www.airbnb.com/users/show/11256557
11506092,1,Paola,https://www.airbnb.com/users/show/11506092
11683286,2,Elena,https://www.airbnb.com/users/show/11683286
12017842,1,Arrigo,https://www.airbnb.com/users/show/12017842
12139637,1,Federica,https://www.airbnb.com/users/show/12139637
12497415,1,Alberto,https://www.airbnb.com/users/show/12497415
12764160,1,Luigi Andrea,https://www.airbnb.com/users/show/12764160
12802038,1,Stefania,https://www.airbnb.com/users/show/12802038
12842177,1,Alberto,https://www.airbnb.com/users/show/12842177
12998399,1,Alessandra,https://www.airbnb.com/users/show/12998399
13342711,2,Elisa,https://www.airbnb.com/users/show/13342711
13627419,1,Cinzia,https://www.airbnb.com/users/show/13627419
13691082,4,William,https://www.airbnb.com/users/show/13691082
13742813,1,Sandra,https://www.airbnb.com/users/show/13742813
13774611,3,Antonella,https://www.airbnb.com/users/show/13774611
14076493,1,Alessandro,https://www.airbnb.com/users/show/14076493
14085736,1,Maria S.,https://www.airbnb.com/users/show/14085736
14202591,1,Anna,https://www.airbnb.com/users/show/14202591
14393714,1,Pasquale,https://www.airbnb.com/users/show/14393714
14479471,2,Maria Concetta,https://www.airbnb.com/users/show/14479471
14701534,1,Stefano,https://www.airbnb.com/users/show/14701534
14740353,1,Federica,https://www.airbnb.com/users/show/14740353
14857291,3,Antina,https://www.airbnb.com/users/show/14857291
14898048,1,Marion,https://www.airbnb.com/users/show/14898048
15009055,1,Luigia,https://www.airbnb.com/users/show/15009055
15079407,2,Alessia,https://www.airbnb.com/users/show/15079407
15188429,3,Giuliana,https://www.airbnb.com/users/show/15188429
15545661,1,Marinella,https://www.airbnb.com/users/show/15545661
15548041,2,Giancarlo,https://www.airbnb.com/users/show/15548041
15894711,1,Alessio,https://www.airbnb.com/users/show/15894711
16102735,1,Gustavo,https://www.airbnb.com/users/show/16102735
16239246,1,Claudio,https://www.airbnb.com/users/show/16239246
16486268,1,Elena,https://www.airbnb.com/users/show/16486268
16605340,1,Simona,https://www.airbnb.com/users/show/16605340
16702611,1,Michele,https://www.airbnb.com/users/show/16702611
16737653,1,Mauro,https://www.airbnb.com/users/show/16737653
16842578,1,Francesco,https://www.airbnb.com/users/show/16842578
17160982,1,Marta,https://www.airbnb.com/users/show/17160982
17197579,1,Paola,https://www.airbnb.com/users/show/17197579
17400274,2,Giovanna,https://www.airbnb.com/users/show/17400274
17542943,7,Luigi,https://www.airbnb.com/users/show/17542943
17826048,7,Beatrice,https://www.airbnb.com/users/show/17826048
17966769,4,Alberto,https://www.airbnb.com/users/show/17966769
18141002,1,Antonio,https://www.airbnb.com/users/show/18141002
18366224,2,Camilla,https://www.airbnb.com/users/show/18366224
18446854,1,Roberto,https://www.airbnb.com/users/show/18446854
18533872,1,Stefano,https://www.airbnb.com/users/show/18533872
18672968,1,Giovanni,https://www.airbnb.com/users/show/18672968
18713077,1,Rosario Antonio,https://www.airbnb.com/users/show/18713077
18783545,2,Chiara,https://www.airbnb.com/users/show/18783545
18847806,1,Fabio,https://www.airbnb.com/users/show/18847806
19158185,1,Maria Manuela,https://www.airbnb.com/users/show/19158185
19224627,1,Christian,https://www.airbnb.com/users/show/19224627
19297648,1,Andrea,https://www.airbnb.com/users/show/19297648
19536819,1,Andrea,https://www.airbnb.com/users/show/19536819
19618588,1,Alberto,https://www.airbnb.com/users/show/19618588
19668569,4,Walter,https://www.airbnb.com/users/show/19668569
19671824,3,Elena,https://www.airbnb.com/users/show/19671824
19858411,3,Mauro,https://www.airbnb.com/users/show/19858411
20103148,1,Angelo,https://www.airbnb.com/users/show/20103148
20347478,2,Matilde,https://www.airbnb.com/users/show/20347478
20845110,2,Davide,https://www.airbnb.com/users/show/20845110
20878233,2,Luca,https://www.airbnb.com/users/show/20878233
20947697,1,Ilenia Rocca,https://www.airbnb.com/users/show/20947697
21123374,1,Margherita,https://www.airbnb.com/users/show/21123374
21388467,1,Giuliana,https://www.airbnb.com/users/show/21388467
21431850,1,Lia,https://www.airbnb.com/users/show/21431850
21626617,1,Giuseppe,https://www.airbnb.com/users/show/21626617
22049067,1,Cristina,https://www.airbnb.com/users/show/22049067
22088671,2,Jacopo,https://www.airbnb.com/users/show/22088671
22224594,1,Giovanna,https://www.airbnb.com/users/show/22224594
22382151,2,Azzurra,https://www.airbnb.com/users/show/22382151
22599915,1,Romolo,https://www.airbnb.com/users/show/22599915
22655189,1,Cosimo Luigi,https://www.airbnb.com/users/show/22655189
22752121,1,Maria,https://www.airbnb.com/users/show/22752121
22855975,1,Roberta,https://www.airbnb.com/users/show/22855975
22915169,1,Ivano,https://www.airbnb.com/users/show/22915169
22929904,1,Alberto,https://www.airbnb.com/users/show/22929904
23839346,1,Simona,https://www.airbnb.com/users/show/23839346
23975968,1,Laura,https://www.airbnb.com/users/show/23975968
24125003,1,Fátima,https://www.airbnb.com/users/show/24125003
24333690,1,Thomas,https://www.airbnb.com/users/show/24333690
24521258,1,Giorgia,https://www.airbnb.com/users/show/24521258
24687374,1,Casa Dei Mercanti,https://www.airbnb.com/users/show/24687374
24736259,1,Simona,https://www.airbnb.com/users/show/24736259
24766288,5,Pasquale,https://www.airbnb.com/users/show/24766288
24861327,3,Giusy,https://www.airbnb.com/users/show/24861327
24873446,1,Verena,https://www.airbnb.com/users/show/24873446
24958915,1,Paolo,https://www.airbnb.com/users/show/24958915
25488908,1,Carla,https://www.airbnb.com/users/show/25488908
25879322,1,Giuseppe,https://www.airbnb.com/users/show/25879322
26566804,3,Caterina,https://www.airbnb.com/users/show/26566804
26573190,1,Francesca,https://www.airbnb.com/users/show/26573190
26794110,1,Buena Onda,https://www.airbnb.com/users/show/26794110
26813644,1,Maurizio,https://www.airbnb.com/users/show/26813644
26844945,3,Gabriella,https://www.airbnb.com/users/show/26844945
27037826,1,Arianna,https://www.airbnb.com/users/show/27037826
27088406,1,Valentina,https://www.airbnb.com/users/show/27088406
27268976,1,Maria Vittoria,https://www.airbnb.com/users/show/27268976
27345941,2,Paola,https://www.airbnb.com/users/show/27345941
27828587,1,Marta,https://www.airbnb.com/users/show/27828587
27900350,2,Ciro,https://www.airbnb.com/users/show/27900350
27947769,4,Roberto,https://www.airbnb.com/users/show/27947769
27955910,6,Andrea,https://www.airbnb.com/users/show/27955910
28243390,1,Giuseppina,https://www.airbnb.com/users/show/28243390
28485064,1,Marco,https://www.airbnb.com/users/show/28485064
28486291,1,Monica,https://www.airbnb.com/users/show/28486291
28671015,2,Danilo,https://www.airbnb.com/users/show/28671015
28799797,3,Valeria,https://www.airbnb.com/users/show/28799797
29108015,2,Rocco Salvatore,https://www.airbnb.com/users/show/29108015
29150820,6,Matilde,https://www.airbnb.com/users/show/29150820
29198843,1,Angela,https://www.airbnb.com/users/show/29198843
30058520,1,Roberto,https://www.airbnb.com/users/show/30058520
30258968,3,Andrea,https://www.airbnb.com/users/show/30258968
30279442,1,Giuseppe,https://www.airbnb.com/users/show/30279442
30869188,2,Gianni,https://www.airbnb.com/users/show/30869188
30892076,8,Adriana,https://www.airbnb.com/users/show/30892076
31072510,1,Rebecca,https://www.airbnb.com/users/show/31072510
31226979,1,Pietro Giovanni,https://www.airbnb.com/users/show/31226979
31294299,1,Gianluca,https://www.airbnb.com/users/show/31294299
31540320,2,Federica,https://www.airbnb.com/users/show/31540320
31847808,1,Irene,https://www.airbnb.com/users/show/31847808
32420679,1,Miriana,https://www.airbnb.com/users/show/32420679
32608399,1,Dusanka,https://www.airbnb.com/users/show/32608399
32762764,1,Sergio,https://www.airbnb.com/users/show/32762764
32920383,1,Chiara,https://www.airbnb.com/users/show/32920383
32977872,1,Mariangela,https://www.airbnb.com/users/show/32977872
33283633,1,Mario,https://www.airbnb.com/users/show/33283633
33964363,6,Alberto,https://www.airbnb.com/users/show/33964363
