host_id,n_listings,host_name,host_url
15016,2,Francesca,https://www.airbnb.com/users/show/15016
23309,1,Francesco E Nicola,https://www.airbnb.com/users/show/23309
116144,2,Giò&Giò,https://www.airbnb.com/users/show/116144
120215,2,Marc & Elisabeth,https://www.airbnb.com/users/show/120215
123920,2,Giorgio,https://www.airbnb.com/users/show/123920
129772,1,Laura,https://www.airbnb.com/users/show/129772
153754,2,Fabio,https://www.airbnb.com/users/show/153754
193059,3,Oliva Nera,https://www.airbnb.com/users/show/193059
201459,4,Giada,https://www.airbnb.com/users/show/201459
202419,1,Cinzia,https://www.airbnb.com/users/show/202419
214390,4,Alessandro,https://www.airbnb.com/users/show/214390
215652,1,Alessandro,https://www.airbnb.com/users/show/215652
226598,2,Andrea,https://www.airbnb.com/users/show/226598
289023,2,Francesca,https://www.airbnb.com/users/show/289023
289615,1,Valentina,https://www.airbnb.com/users/show/289615
290452,2,Marco,https://www.airbnb.com/users/show/290452
294951,21,Venicevillas,https://www.airbnb.com/users/show/294951
308566,12,Laura,https://www.airbnb.com/users/show/308566
351965,3,Ca' Turelli,https://www.airbnb.com/users/show/351965
368293,3,Grazia,https://www.airbnb.com/users/show/368293
369617,4,Irene,https://www.airbnb.com/users/show/369617
369642,2,Valter,https://www.airbnb.com/users/show/369642
376806,1,Orlando,https://www.airbnb.com/users/show/376806
377929,5,Attilio,https://www.airbnb.com/users/show/377929
381172,1,Marco,https://www.airbnb.com/users/show/381172
390175,2,Monica,https://www.airbnb.com/users/show/390175
399883,4,Monica,https://www.airbnb.com/users/show/399883
401113,4,Elia,https://www.airbnb.com/users/show/401113
416351,2,Italo,https://www.airbnb.com/users/show/416351
419326,1,Federica,https://www.airbnb.com/users/show/419326
430236,2,Paola,https://www.airbnb.com/users/show/430236
434231,1,Magda,https://www.airbnb.com/users/show/434231
434492,1,Stefano,https://www.airbnb.com/users/show/434492
485439,1,Elisabetta,https://www.airbnb.com/users/show/485439
498418,1,Luca,https://www.airbnb.com/users/show/498418
499507,1,Giulia,https://www.airbnb.com/users/show/499507
522528,1,Giovanna,https://www.airbnb.com/users/show/522528
550550,1,Valerio,https://www.airbnb.com/users/show/550550
564594,3,Eliana,https://www.airbnb.com/users/show/564594
569438,1,Sara,https://www.airbnb.com/users/show/569438
615820,1,Mirko,https://www.airbnb.com/users/show/615820
619545,2,Silvia,https://www.airbnb.com/users/show/619545
621558,3,Elisabetta,https://www.airbnb.com/users/show/621558
632312,6,Guillaume,https://www.airbnb.com/users/show/632312
642936,2,Maria,https://www.airbnb.com/users/show/642936
669047,81,Views On Venice,https://www.airbnb.com/users/show/669047
688823,2,Franco,https://www.airbnb.com/users/show/688823
693554,1,Caterina,https://www.airbnb.com/users/show/693554
700800,1,Federico,https://www.airbnb.com/users/show/700800
703872,3,Leonardo E Irene,https://www.airbnb.com/users/show/703872
704911,2,Alessandra,https://www.airbnb.com/users/show/704911
709828,2,Roberto,https://www.airbnb.com/users/show/709828
716164,1,Daniele,https://www.airbnb.com/users/show/716164
716234,3,Paola,https://www.airbnb.com/users/show/716234
722130,1,Maddalena,https://www.airbnb.com/users/show/722130
722387,1,Enrica,https://www.airbnb.com/users/show/722387
745553,4,Rosanna E Francesca,https://www.airbnb.com/users/show/745553
766256,2,Laura,https://www.airbnb.com/users/show/766256
779303,1,Maria Sole,https://www.airbnb.com/users/show/779303
781124,1,Nicolò,https://www.airbnb.com/users/show/781124
796717,1,Diego Fabio,https://www.airbnb.com/users/show/796717
813513,2,Mara,https://www.airbnb.com/users/show/813513
847706,1,Selma,https://www.airbnb.com/users/show/847706
896909,1,Gianluca,https://www.airbnb.com/users/show/896909
950325,1,Elisa,https://www.airbnb.com/users/show/950325
