id,Name,Host Name,Host Listings Count,status,Previous Listing Name,Previous Host Name,Previous Host Listings Count,latitude,longitude,total_listing_bin
73739,Your apartment in the Heart of City,Dante,1,New,,,0.0,43.76988,11.23978,1
490904,Nice apt in Santo Spirito,Claudio,1,New,,,0.0,43.76461,11.245603,1
527603,Proconsolo Donatello Apartment by Mamo Florence,Mamo,201,New (from previous),Proconsolo Donatello Apartment by Mamo Florence,Elena,2.0,43.77079,11.25723,50+
640000,Via della Chiesa 51,Nicolò,1,New,,,0.0,43.76697,11.24654,1
1452799,RUSTICI APPARTAMENTO With Terrace,Sid,33,New,,,0.0,43.76857,11.25879,5-50
2095184,"Tornabuoni, elegant ap. in the hearth of the city",Marusca,2,New,,,0.0,43.76932,11.25127,2-5
2553147,Boutique Apart Duomo Firenze,Susanna,2,New,,,0.0,43.77797,11.26316,2-5
3412007,Design apartment in the center,Naima,5,New (from previous),Design apartment in the center,Maddalena,1.0,43.77304,11.25152,5-50
3432560,CENTRAL -   SUPER apt in S Croce!!!!!,Melania,1,New,,,0.0,43.76951,11.26629,1
3990481,Ponte vecchio(Old Bridge) Apartment Piazza Pitti,Silvia,2,New,,,0.0,43.765347,11.248863,2-5
5105351,Pandolfini Suite near SANTA CROCE,Apartments Florence,102,New,,,0.0,43.77091,11.26096,50+
5574046,JR HOME,Francesco,1,New,,,0.0,43.77278,11.24441,1
5799269,Pergola Renaissance Apartment,Luca,1,New,,,0.0,43.77456,11.26188,1
6680610,FLORENCE LOFT  NEAR DUOMO,Paolo,1,New,,,0.0,43.77763,11.25392,1
7702982,Porcellana Twenty-Six Florence Wi-Fi Apartment,Laura,1,New,,,0.0,43.77335,11.24739,1
9222477,Ghibellina Balcony -1 Bedroom with Outside Space,Apartments Florence,102,New,,,0.0,43.76942,11.26549,50+
10243927,Moderno appartamento affrescato,Matteo,2,New,,,0.0,43.77479,11.24759,2-5
12941888,Cavour 28,Istay,187,New,,,0.0,43.775505,11.256456,50+
13038541,Elegant Dome Apartment in the Heart of Florence,Matias,1,New,,,0.0,43.77282,11.25239,1
13070411,Fortezza Second floor,Istay,187,New,,,0.0,43.779598,11.251822,50+
13119558,Proconsolo,Istay,187,New,,,0.0,43.772045,11.25792,50+
13120078,Apartment Pitti,Istay,187,New,,,0.0,43.76527786254883,11.248435020446776,50+
13258342,Ginori Apartment by Mamo Florence,Mamo,201,New (from previous),Ginori Apartment by Mamo Florence,Riccardo,1.0,43.77442,11.2545,50+
13286622,Campidoglio F,Istay,187,New,,,0.0,43.77227,11.253031,50+
13287467,Campidoglio E,Istay,187,New,,,0.0,43.77227,11.253031,50+
13289509,Campidoglio T,Istay,187,New,,,0.0,43.77227,11.253031,50+
13630618,Spacious Apartment in Florence: Explore the City!,Mattia,1,New,,,0.0,43.76824,11.27514,1
15695634,Spadolini Apartment,Istay,187,New,,,0.0,43.776978,11.257349,50+
15710593,Faenza 73,Istay,187,New,,,0.0,43.777683,11.251009,50+
16413084,"Maison@ldo: 4 double bedrooms with AC, 2 bathrooms",Aldo,2,New,,,0.0,43.7865606,11.2628645,2-5
17016676,Florence quite yet central 1 bedroom apt,Angela,1,New,,,0.0,43.76028,11.23948,1
17206557,"Casina Guelfa,  10 minute walk to Il Duomo",Luisa,1,New,,,0.0,43.77875,11.2553,1
17384280,Carmine's Nest,Ramin,1,New,,,0.0,43.76677,11.24457,1
18176190,Giglio Villani 1b near PALAZZO PITTI,Apartments Florence,102,New,,,0.0,43.76681,11.24009,50+
18807006,Cozy  and chic apartment in the heart of Florence,Federico,6,New (from previous),Cosy and chic apartment in the heart of Florence,Fiora,1.0,43.77236,11.26251,5-50
19442708,"Bright, Modern, and Spacious  in Piazza Repubblica",Apartments_Florence,51,New,,,0.0,43.77136993408203,11.25469207763672,50+
19898075,"Casa Pampinea: quiet, comfy, served with shops.",Francesca Romana,1,New,,,0.0,43.78896,11.27119,1
20384830,"Duomo  0,14 mi away, 750 sqft, wifi and AC!",Isabella,18,New,,,0.0,43.77162,11.25994,5-50
20673371,Appartamento Sant’Ambrogio Centro Storico,Esther,1,New (from previous),Sant'Ambrogio Studio,Windows In Florence,26.0,43.76995086669922,11.265737533569336,1
22444502,Palazzo Spinelli Apartment by Mamo Florence,Mamo,201,New (from previous),Palazzo Spinelli Apartment by Mamo Florence,Roberto,2.0,43.76801,11.26103,50+
23244669,La Casa di Cosimo,Cosimo Klaus,1,New,,,0.0,43.76886,11.25883,1
23522107,Spacious flat in the historic centre of Florence,Gianrocco,1,New (from previous),Spacious flat in the historic centre of Florence,Francesca,1.0,43.77465,11.26645,1
24057204,"Firenze, San Donato, Luminosità e Brio",Andrea,3,New,,,0.0,43.79152,11.22132,2-5
24697999,In the Heart of Florence steps from Duomo Signoria,Chekri,1,New,,,0.0,43.77071,11.25556,1
24762819,Cozy Pitti Apartment - 70mq w/FREE PRIVATE PARKING,Alessandro,10,New (from previous),Cozy Pitti Apartment - 70mq w/FREE PRIVATE PARKING,Andrea,21.0,43.76028,11.24105,5-50
24878984,Zannetti 301 Compact,Istay,187,New,,,0.0,43.77356,11.253852,50+
24879831,Zannetti 303 Medici,Istay,187,New,,,0.0,43.77356,11.253852,50+
25762522,La Galerie Luxury Apartment  by Mamo Florence,Mamo,201,New (from previous),La Galerie Luxury Apartment  by Mamo Florence,Roberto,2.0,43.77584,11.26806,50+
28145224,Fortezza Third floor,Istay,187,New,,,0.0,43.779633,11.252136,50+
29525309,Suite Charming San Marco 4 posti letto,Maria Novella,2,New,,,0.0,43.77771,11.25853,2-5
29704855,Fortezza Fourth Floor 6 Pax,Istay,187,New,,,0.0,43.779633,11.252136,50+
29916952,Fortezza Fourth Floor 4 Pax,Istay,187,New,,,0.0,43.779633,11.252136,50+
30810057,Sweet apartment 5 minutes from station and garden,Rebecca,17,New,,,0.0,43.77772,11.238,5-50
31588353,"Elegant Frescoed Flat, central, peaceful and wifi",Gregory,2,New,,,0.0,43.772907,11.233712,2-5
