index,h3,population,n_tram_stops,n_new_airbnbs
0,881ea2199bfffff,1355.0,0,0
1,881ea218a5fffff,431.0,0,0
2,881ea218a1fffff,1078.0,0,0
3,881ea218adfffff,407.0,0,0
4,881ea218a9fffff,2392.0,0,2
5,881ea218e7fffff,3322.0,0,0
6,881ea218e3fffff,279.0,0,0
7,881ea20ac3fffff,187.0,0,0
8,881ea20ac1fffff,277.0,0,0
9,881ea20acdfffff,694.0,0,0
10,881ea20addfffff,1742.0,0,3
11,881ea20acbfffff,431.0,0,4
12,881ea20ac9fffff,834.0,0,5
13,881ea20127fffff,3632.0,0,75
14,881ea20137fffff,7183.0,0,52
15,881ea20135fffff,4182.0,0,134
16,881ea20123fffff,5994.0,0,329
17,881ea20a1bfffff,2094.0,0,8
18,881ea20a19fffff,168.0,0,0
19,881ea20a57fffff,417.0,0,0
20,881ea20125fffff,1695.0,0,15
21,881ea20a53fffff,3149.0,0,6
22,881ea20a51fffff,6665.0,2,14
23,881ea2012dfffff,5309.0,1,35
24,881ea20a5bfffff,8801.0,3,26
25,881ea20a59fffff,8234.0,0,9
26,881ea20129fffff,4707.0,3,92
27,881ea20a55fffff,1494.0,0,2
28,881ea20a43fffff,2861.0,1,2
29,881ea20a41fffff,4344.0,0,1
30,881ea20a4dfffff,3723.0,0,1
31,881ea20a5dfffff,5346.0,0,5
32,881ea20a4bfffff,2724.0,0,1
33,881ea20a49fffff,310.0,0,0
34,881ea218a7fffff,167.0,0,0
35,881ea218b7fffff,6982.0,0,1
36,881ea218b5fffff,2055.0,0,0
37,881ea20121fffff,6956.0,0,147
38,881ea20131fffff,9082.0,0,61
39,881ea2013dfffff,6568.0,1,199
40,881ea2012bfffff,5427.0,3,235
41,881ea20139fffff,7115.0,0,34
42,881ea20107fffff,6238.0,5,109
43,881ea20105fffff,4722.0,4,38
44,881ea20115fffff,4690.0,0,7
45,881ea20103fffff,8512.0,0,24
46,881ea20101fffff,5447.0,0,17
47,881ea20167fffff,2175.0,1,12
48,881ea20165fffff,2124.0,0,4
49,881ea218b3fffff,2143.0,0,0
50,881ea20163fffff,11238.0,3,62
51,881ea20161fffff,8571.0,1,33
52,881ea2016dfffff,5310.0,0,14
53,881ea2016bfffff,7887.0,1,16
54,881ea20169fffff,4771.0,2,14
55,881ea21897fffff,5928.0,2,12
56,881ea20145fffff,3509.0,0,11
57,881ea218a3fffff,1784.0,0,0
58,881ea218b1fffff,1869.0,0,2
59,881ea218bdfffff,346.0,0,0
